exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,original_r,error
16,16,5,2,400,10,0.458933983390379,0.393452644189031,-0.661204536837651,0.389255292840979,0.419332719897976,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.085555439967569,0.126129858160922,25,0.0182390198084
16,17,5,2,25,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.104887567292
16,18,5,2,50,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00839286722858
16,19,5,2,75,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.0062975062185
16,20,5,2,100,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00558298456285
16,21,5,2,125,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00566213213912
16,22,5,2,150,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00567421765847
16,23,5,2,175,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00564545312158
16,24,5,2,200,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00561199347784
16,25,5,2,225,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00558224775667
16,26,5,2,250,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00555754810151
16,27,5,2,275,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00553742582287
16,28,5,2,300,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00552106510617
16,29,5,2,325,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00550769938767
