id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
14,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,75,5560785,250,CMAES,p,0.4145789040686337,0.4136284602521486,-0.6549876127589195,0.41248188028297905,0.4142828900822099,0.0018590479376701912,0.004040300247899568,46.01261845915177,626.6468689441681
15,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,75,5692317,250,CMAES,p,0.41499632468367986,0.4120248587969947,-0.6549947971828498,0.41532861174864333,0.41262952165644795,0.0018596590230713346,0.004040300247899568,46.02774321136445,624.9043729305267
16,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,75,6016665,250,CMAES,p,0.41611703547743895,0.41060628912937297,-0.6550075493512237,0.41435401344586503,0.4139147459449453,0.0018591564497352658,0.004040300247899568,46.01530420175545,621.6611480712891
17,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,75,6335549,250,CMAES,p,0.41408067540890997,0.41075071017754694,-0.6550015867337902,0.4147015047753085,0.4154532368469423,0.0018596430973991025,0.004040300247899568,46.027349040851,626.4876394271851
18,5,-0.10697142702071627,0.529058605311209,0.5043258788245542,-0.3482646246706034,-0.9502583693259468,2,75,6387322,250,CMAES,p,0.4121491378042773,0.41441432300242287,-0.6551708697956409,0.40645937546944544,0.42213272369065014,0.001866302255293892,0.004040300247899568,46.19216743270817,623.1123242378235
133,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,3901933,250,CMAES,p,0.4178396236662885,0.41373034184811264,-0.6540272842800979,0.41094758672800846,0.41148923592464204,0.0019482081749528514,0.006164282866649955,31.604782212267715,609.5556876659393
134,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,5560785,250,CMAES,p,0.40931665963952,0.4136193234263697,-0.6540329352897954,0.41344819193340643,0.41762827149118076,0.001953844988105409,0.006164282866649955,31.696225341574024,591.1609983444214
135,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,5692317,250,CMAES,p,0.41649114027689516,0.4145169452305152,-0.6540179849602994,0.41038998070988386,0.4125993004610088,0.0019397930839673218,0.006164282866649955,31.468268506333537,579.9881899356842
136,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,6016665,250,CMAES,p,0.413005130820929,0.412672859364561,-0.6539956481603005,0.41431878095222957,0.4139780762490387,0.0019315879790439841,0.006164282866649955,31.3351612966088,580.2762541770935
137,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,6335549,250,CMAES,p,0.4150550572794139,0.40947471248423034,-0.6540322479746586,0.4160878738584247,0.41339383886268416,0.0019315318546560254,0.006164282866649955,31.334250819442634,578.6995732784271
138,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,6387322,250,CMAES,p,0.41276185903306745,0.4115470440064483,-0.6540104571650122,0.4162616842503542,0.41341905700100534,0.0019319466979958318,0.006164282866649955,31.340980610219287,579.4142825603485
139,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,7588418,250,CMAES,p,0.4164017096042811,0.41221770066053187,-0.6540259331147441,0.4105710113001384,0.4148148318888192,0.0019334938867436428,0.006164282866649955,31.366079859901376,623.7864503860474
