id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,optimised error,suzuki error,% error,time
20,5,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3,25,951689995,500,CMAES,p concatenated,0.35435665268208005,0.3771637872515768,-0.484158323558906,0.3924350549516017,0.3616838444272552,0.41793696234155703,0.40581764897083283,-0.6566864114596586,0.40727860733335275,0.4241615942329897,0.0013708649553443924,0.001971582749712095,69.53119038724478,6108.51010799408
21,5,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3,25,164252281,500,CMAES,p concatenated,0.36824621599830437,0.382323582881852,-0.4854422507031882,0.3835265094086978,0.3615981981237289,0.41267641639018415,0.414117083482929,-0.6507214076561745,0.4070568742735949,0.4067098020004977,0.0013521754876773436,0.001971582749712095,68.58324804651481,5806.820441961288
22,5,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3,50,678261680,500,CMAES,p concatenated,0.3730565065143139,0.3730639388063095,-0.4922640010385413,0.37305923809260716,0.3730567787471677,0.414499105879403,0.4144921431576861,-0.6579589960055678,0.41449564425619656,0.4144995156299108,9.913497790174991e-06,1.7905879372264902e-05,55.364484391257456,5585.556442260742
23,5,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3,50,951689995,500,CMAES,p concatenated,0.3730565919375513,0.37306737846542143,-0.4922742737427884,0.3730665170835211,0.3730644877972225,0.414496294438879,0.4144863232695166,-0.6579537838889318,0.4144950729454574,0.41449526542820436,9.916460047899958e-06,1.7905879372264902e-05,55.38102788327693,5181.499976634979
24,5,0.999084104496638,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3,50,164252281,500,CMAES,p concatenated,0.37305144654614947,0.3730621334882994,-0.49225051866010466,0.37306809727767926,0.3730611107621518,0.41449313125312026,0.41448570506924715,-0.6579452277169981,0.4144856045732849,0.4144883901975708,9.903454338132624e-06,1.7905879372264902e-05,55.308394143838925,5754.013652086258
25,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.2935004274862503,0.5026005440096201,3,25,678261680,500,CMAES,p concatenated,0.3723689057597011,0.37253536854701047,-0.4924473907579371,0.3734048308908354,0.37208220675548365,0.41511263835471957,0.41440989616286167,-0.6561551096584177,0.4144101798956318,0.4142874331348058,0.001109235329966567,0.001455736639423652,76.1975277620085,4785.156841039658
26,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.2935004274862503,0.5026005440096201,3,25,951689995,500,CMAES,p concatenated,0.37297756099402884,0.37300348683369994,-0.48877542937964147,0.37258341546249596,0.3697931566031674,0.41279912368352556,0.41502490222762334,-0.6551798370941488,0.417145865618758,0.41063048167947136,0.001060036322961299,0.001455736639423652,72.81786377108591,5023.6670961380005
27,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.2935004274862503,0.5026005440096201,3,25,164252281,500,CMAES,p concatenated,0.3730702961715257,0.3728795675637491,-0.4933471780622504,0.3722014910684861,0.3734223054107349,0.4135967188892695,0.4146401305366437,-0.6561578322336583,0.41507248058468743,0.41462985297104277,0.0011246772473399206,0.001455736639423652,77.25829088049863,5004.602378606796
28,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.2935004274862503,0.5026005440096201,3,50,678261680,500,CMAES,p concatenated,0.3730218069724259,0.3730550965640402,-0.4922479675751472,0.37305043476047534,0.37298753944955726,0.4144901069507864,0.4145400531506016,-0.6578902446784324,0.4145253056450743,0.4144679348484977,1.1350666208741248e-05,1.7942490309623318e-05,63.26137572248488,4793.0878348350525
29,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.2935004274862503,0.5026005440096201,3,50,951689995,500,CMAES,p concatenated,0.37302131731970256,0.3730490306580313,-0.4922354277475751,0.37296762845628223,0.3730408768567416,0.4144973897266282,0.4144843297797586,-0.6579055663831455,0.4144771919332194,0.41460330216416913,1.1370475179347965e-05,1.7942490309623318e-05,63.37177829350421,5239.903509140015
30,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.2935004274862503,0.5026005440096201,3,50,164252281,500,CMAES,p concatenated,0.3730840651728839,0.3730579526942797,-0.4923474209021856,0.37304248091504766,0.3730169909561239,0.4145044289364406,0.41450351950386966,-0.6578999557313431,0.414529973213934,0.41450803638541567,1.1262418503664798e-05,1.7942490309623318e-05,62.76953928532588,5332.858307123184
31,5,0.9904540693410236,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565148,3,25,678261680,500,CMAES,p concatenated,0.336597498724953,0.3762486686214652,-0.4507287064624577,0.37917396695479944,0.33853110821826077,0.41780865088841584,0.43082456771853916,-0.6691498710461294,0.42024407449719003,0.42085555301883926,0.001411902397789632,0.002788473837072265,50.6335178411445,4611.686855554581
32,5,0.9904540693410236,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565148,3,25,951689995,500,CMAES,p concatenated,0.3128709412289551,0.36937060482003775,-0.45319342756772363,0.39670793702609236,0.3676246658564838,0.3913964686445445,0.45195426270265154,-0.6639354375467408,0.42536102781350194,0.40186866108908903,0.0014107059909793359,0.002788473837072265,50.59061240683883,4989.38113951683
33,5,0.9904540693410236,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565148,3,25,164252281,500,CMAES,p concatenated,0.3424905138841427,0.35896035660447984,-0.46026041568030734,0.4023902811829968,0.361228556956929,0.37615574433925336,0.46505727417155884,-0.661452573599741,0.4306796512602194,0.38475691919811034,0.0013788820855081111,0.002788473837072265,49.44934634767299,5037.811631202698
