id,n,v_1,v_2,v_3,v_4,v_5,k,r,scale
58,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3.0,25.0,0.001
59,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3.0,25.0,1e-05
60,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3.0,25.0,1e-07
61,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3.0,50.0,0.1
62,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3.0,50.0,0.001
63,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3.0,50.0,1e-05
64,5.0,0.9990841044966379,0.2196479105213669,0.1592370069643183,0.7608713011021457,0.8513853262934397,3.0,50.0,1e-07
65,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2.0,75.0,0.1
66,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2.0,75.0,0.001
67,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2.0,75.0,1e-05
68,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2.0,75.0,1e-07
69,5.0,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2.0,125.0,0.1
