id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind
52,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,100,373276626,250,CMAES,p
53,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,100,554197088,250,CMAES,p
54,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,100,858138413,250,CMAES,p
55,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,150,373276626,250,CMAES,p
56,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,150,554197088,250,CMAES,p
57,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,150,858138413,250,CMAES,p
58,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,200,373276626,250,CMAES,p
59,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,200,554197088,250,CMAES,p
60,5,0.5462491563061158,-0.10068357262268468,0.6027915688719194,-0.29350042748625027,0.50260054400962,2,200,858138413,250,CMAES,p
61,5,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2,50,373276626,250,CMAES,p
62,5,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2,50,554197088,250,CMAES,p
63,5,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2,50,858138413,250,CMAES,p
64,5,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2,100,373276626,250,CMAES,p
65,5,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2,100,554197088,250,CMAES,p
66,5,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2,100,858138413,250,CMAES,p
67,5,0.9904540693410235,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565149,2,150,373276626,250,CMAES,p
