id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
150,5,-0.9326835315888112,0.2103371737512847,0.08075618136680962,0.5467885771585526,0.7065320804009592,2,100,858138413,250,CMAES,p,0.4113510248236503,0.4121209940429392,-0.6558919204535052,0.4172936793416299,0.41511767671835004,0.0006177610680411649,0.0016843907336165428,36.675639191791014,634.1358451843262
151,5,-0.9326835315888112,0.2103371737512847,0.08075618136680962,0.5467885771585526,0.7065320804009592,2,150,373276626,250,CMAES,p,0.4133425111853051,0.4156652846174255,-0.6570461083792057,0.41425043564180375,0.4137859753117995,0.00012571107047628288,0.0003427166320296712,36.68076151769584,720.1698486804962
152,5,-0.9326835315888112,0.2103371737512847,0.08075618136680962,0.5467885771585526,0.7065320804009592,2,150,554197088,250,CMAES,p,0.4151709206298229,0.41473302725242805,-0.6570406844060604,0.4137823703830767,0.41335247712718043,0.0001257546791750514,0.0003427166320296712,36.69348593626586,722.0661852359772
153,5,-0.9326835315888112,0.2103371737512847,0.08075618136680962,0.5467885771585526,0.7065320804009592,2,150,858138413,250,CMAES,p,0.41434118338765974,0.4134814719224729,-0.6570414929549243,0.4142924800204806,0.414924461236374,0.00012571063009371848,0.0003427166320296712,36.68063302011993,727.5666546821594
154,5,-0.9326835315888112,0.2103371737512847,0.08075618136680962,0.5467885771585526,0.7065320804009592,2,200,373276626,250,CMAES,p,0.41433750378386247,0.4148813531274277,-0.6574428338138244,0.4144019157722356,0.4138214445928254,4.020859857667896e-05,0.00010954801141487777,36.70408805907198,800.2498824596405
155,5,-0.9326835315888112,0.2103371737512847,0.08075618136680962,0.5467885771585526,0.7065320804009592,2,200,554197088,250,CMAES,p,0.4144365600394949,0.414368679972548,-0.6574443504496927,0.41456653047209024,0.4140719600722653,4.020671391663159e-05,0.00010954801141487777,36.7023676626695,793.8031651973724
156,5,-0.9326835315888112,0.2103371737512847,0.08075618136680962,0.5467885771585526,0.7065320804009592,2,200,858138413,250,CMAES,p,0.4142400584315782,0.41378574310554983,-0.6574376982728914,0.4146450929841096,0.41476619519416297,4.021092112329348e-05,0.00010954801141487777,36.706208176620926,789.7798697948456
157,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,50,373276626,250,CMAES,p,0.41321080651528247,0.41556498076690546,-0.6526795409045267,0.41197999277138314,0.411868329320117,0.007690446532917703,0.017211084256812736,44.68310315704579,583.3899743556976
158,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,50,554197088,250,CMAES,p,0.41084891182218947,0.4227984383798781,-0.6528775225906593,0.4072664811656854,0.41190785448060985,0.007705602706895058,0.017211084256812736,44.77116369844577,586.6327204704285
159,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,50,858138413,250,CMAES,p,0.4141593950803135,0.4184770458027202,-0.6527945649255809,0.4061644476500064,0.4139386135854035,0.007683889355988452,0.017211084256812736,44.64500458736007,585.316876411438
