,exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,error,v_suz_error
23,15,24,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.603800031154597,0.550105940302207,-0.227117637636759,-0.176569439986245,-0.366784136980409,0.000614017365742,0.0013303233875399999,0.000608182473687,0.0013138450926999513
24,15,25,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.8060005073705071,-0.6661853372842409,-0.42502530987427006,0.807278013050725,-0.07437962025411701,0.000614017365742,0.0013303233875399999,0.000687897108833,0.00139245872526967
25,15,26,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.661367279794385,-0.42197654755254105,-0.387778521482807,0.276500423122041,0.546495634937345,0.000614017365742,0.0013303233875399999,0.0006011614640449999,0.001325351076186945
26,15,27,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.9841367855768679,-0.9650485460071669,-0.846669503278965,0.7322006869326719,0.207149266092126,0.000614017365742,0.0013303233875399999,0.000825864885415,0.0015496853723569685
27,15,28,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.7297072757774871,0.447839255393184,0.490581639140507,-0.29706902302901,0.12372533925097899,0.000614017365742,0.0013303233875399999,0.0006090211743700001,0.0012645441833974325
28,15,29,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,-0.6079946789875109,-0.06423701943454499,0.48655339694384003,0.603396998069534,0.208584538461168,0.000614017365742,0.0013303233875399999,0.0005746352571989999,0.001244024298279538
29,15,30,5,2,100,10,0.413905183341949,0.412148642886093,-0.6561953871314511,0.41460666565670096,0.41552976052452506,0.832047234333674,-0.341285605018889,0.543920354933582,0.476415729153106,-0.23428940593775,0.000614017365742,0.0013303233875399999,0.0008499654488610001,0.0017733698696874574
30,15,31,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.10697142702071599,0.529058605311209,0.5043258788245539,-0.34826462467060304,-0.950258369325947,0.0005654142530630001,0.00130957103667,0.000649632184862,0.001330323387528409
31,15,32,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.09640984945486199,0.16554078304766,-0.7392959233634109,-0.329631476009917,-0.471443856758978,0.0005654142530630001,0.00130957103667,0.0005654142530630001,0.0013095710366606828
32,15,33,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.141482629457203,0.49927993735163895,-0.845004439908944,0.562920582689051,-0.616606646912017,0.0005654142530630001,0.00130957103667,0.00106597591688,0.0020382923241751925
33,15,34,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.9990841044966379,0.219647910521367,0.159237006964318,0.7608713011021461,0.85138532629344,0.0005654142530630001,0.00130957103667,0.000626032354869,0.0012640933429922281
34,15,35,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.546249156306116,-0.100683572622685,0.6027915688719189,-0.29350042748625,0.5026005440096201,0.0005654142530630001,0.00130957103667,0.0007723136003730001,0.0015359722434719841
35,15,36,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.990454069341024,-0.244450416361064,0.7955458787759091,0.42909686644376294,0.926566143656515,0.0005654142530630001,0.00130957103667,0.000772880886325,0.0016526556537151892
36,15,37,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.08680268277826499,0.9132962777942599,-0.7319367414760491,-0.328949316263272,-0.547092014721715,0.0005654142530630001,0.00130957103667,0.000833874179754,0.0017035836136133665
37,15,38,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.7969527881951409,-0.20411592444163895,-0.640705294580916,0.544002121401565,0.624880749612272,0.0005654142530630001,0.00130957103667,0.0008854998030710001,0.0016187542698847361
