exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,error
15,15,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.397932370303915,0.744903041479516,-0.618593810031835,0.964493161151284,0.772321347717434,0.000614017365742,0.00133032338754,0.00111324786044
15,16,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.942634864129884,-0.003767449274436,-0.026144726113405,0.311512389043457,-0.238467315173633,0.000614017365742,0.00133032338754,0.000737126031496
15,17,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.77924330871459,-0.634439944143254,0.288266005962503,-0.835275499848998,0.697047729754236,0.000614017365742,0.00133032338754,0.00104154056726
15,18,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.34762965328911,-0.549626065051727,-0.108595998984933,0.15932001686603,0.107734793496052,0.000614017365742,0.00133032338754,0.000728432252869
15,19,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.844181066274578,0.536941274542382,-0.859937033653044,0.305900950477507,0.307307983465393,0.000614017365742,0.00133032338754,0.00107667934518
15,20,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.90426400462605,0.533459801972326,0.415211652608789,0.569854372216116,-0.374962547897989,0.000614017365742,0.00133032338754,0.000761879510481
15,21,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.999051849623006,-0.382705085527661,-0.630254148303522,-0.855547572665774,-0.806655418374949,0.000614017365742,0.00133032338754,0.000767480018188
15,22,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.428956264276091,0.518990654171372,-0.547659749729947,-0.61168691851822,-0.970642777568455,0.000614017365742,0.00133032338754,0.000746573048665
15,23,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.713837586861799,-0.89561061944838,0.783719981394592,0.081369051011216,-0.117189691479788,0.000614017365742,0.00133032338754,0.000760965019643
15,24,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.603800031154597,0.550105940302207,-0.227117637636759,-0.176569439986245,-0.366784136980409,0.000614017365742,0.00133032338754,0.000608182473687
15,25,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.806000507370507,-0.666185337284241,-0.42502530987427,0.807278013050725,-0.074379620254117,0.000614017365742,0.00133032338754,0.000687897108833
15,26,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.661367279794385,-0.421976547552541,-0.387778521482807,0.276500423122041,0.546495634937345,0.000614017365742,0.00133032338754,0.000601161464045
15,27,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.984136785576868,-0.965048546007167,-0.846669503278965,0.732200686932672,0.207149266092126,0.000614017365742,0.00133032338754,0.000825864885415
15,28,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.729707275777487,0.447839255393184,0.490581639140507,-0.29706902302901,0.123725339250979,0.000614017365742,0.00133032338754,0.00060902117437
15,29,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,-0.607994678987511,-0.064237019434545,0.48655339694384,0.603396998069534,0.208584538461168,0.000614017365742,0.00133032338754,0.000574635257199
15,30,5,2,100,10,0.413905183341949,0.412148642886093,-0.656195387131451,0.414606665656701,0.415529760524525,0.832047234333674,-0.341285605018889,0.543920354933582,0.476415729153106,-0.23428940593775,0.000614017365742,0.00133032338754,0.000849965448861
15,31,5,2,100,10,0.412882628100133,0.413511097025671,-0.656221565897376,0.415951063992417,0.413872284562536,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.000565414253063,0.00130957103667,0.000649632184862
